Love Is Eternity___SPA	30	-1	-1	30	東京都	MLIKO.	2790	東京都	MLIKO.	2790
Narcissus At Oasis___SPA	30	-1	-1	30	東京都	GEORGE	1609	東京都	GEORGE	1609
No.13___SPA	30	-1	-1	30	東京都	3234	3136	東京都	3234	3136
One More Lovely___SPA	30	-1	-1	30	韓国	SILLYB	2957	韓国	SILLYB	2957
pandora___SPA	30	-1	-1	30	東京都	3234	2058	東京都	3234	2058
rainbow rainbow___SPA	30	-1	-1	30	東京都	MLIKO.	2751	東京都	MLIKO.	2751
Rise'n Beauty___SPA	30	-1	-1	30	韓国	ALIEN	2282	韓国	ALIEN	2282
SCORE___SPA	30	-1	-1	30	兵庫県	QJITAI	2161	兵庫県	QJITAI	2161
SHOOTING STAR___SPA	30	-1	-1	30	兵庫県	QJITAI	2301	兵庫県	QJITAI	2301
SPACE FIGHT___SPA	30	-1	-1	30	韓国	SILLYB	2330	韓国	SILLYB	2330
雪月花___SPA	30	-1	-1	30	韓国	SILLYB	2741	韓国	SILLYB	2741
AA___SPA	30	-1	-1	30	韓国	SILLYB	3398	韓国	SILLYB	3398
AGEHA___SPA	30	-1	-1	30	山形県	OKKUN	1768	山形県	OKKUN	1768
AGEHA___SPL	30	-1	-1	30	東京都	3455	2844	東京都	3455	2844
ANDROMEDA___SPA	30	-1	-1	30	東京都	3234	3090	東京都	3234	3090
awakening___SPA	30	-1	-1	30	韓国	ALIEN	1722	韓国	ALIEN	1722
Be quiet___SPA	30	-1	-1	30	東京都	MLIKO.	2096	東京都	MLIKO.	2096
Be quiet___SPL	30	-1	-1	30	韓国	SILLYB	3126	韓国	SILLYB	3126
BLOCKS___SPA	30	-1	-1	30	東京都	MLIKO.	1986	東京都	MLIKO.	1986
BREATH___SPA	30	-1	-1	30	滋賀県	AAAAAA	1820	滋賀県	AAAAAA	1820
Click Again___SPA	30	-1	-1	30	東京都	MLIKO.	2038	東京都	MLIKO.	2038
Close my Eyes for Me___SPA	30	-1	-1	30	東京都	MLIKO.	2051	東京都	MLIKO.	2051
D.A.N.C.E.!___SPA	30	-1	-1	30	東京都	MLIKO.	1287	東京都	MLIKO.	1287
Don't be afraid myself___SPA	30	-1	-1	30	東京都	3234	2152	東京都	3234	2152
FAKE TIME___SPA	30	-1	-1	30	東京都	MLIKO.	2289	東京都	MLIKO.	2289
GENOCIDE___SPA	30	-1	-1	30	韓国	SILLYB	2731	韓国	SILLYB	2731
gigadelic___SPA	30	-1	-1	30	東京都	NERO	2597	東京都	NERO	2597
HORIZON___SPA	30	-1	-1	30	三重県	0SANP0	2037	三重県	0SANP0	2037
KEY___SPA	30	-1	-1	30	韓国	ALIEN	2774	韓国	ALIEN	2774
NEBULA GRASPER___SPA	30	-1	-1	30	神奈川県	RICK.	2244	神奈川県	RICK.	2244
Raspberry Heart(English version)___SPA	30	-1	-1	30	東京都	3234	1791	東京都	3234	1791
RED ZONE___SPA	30	-1	-1	30	滋賀県	AAAAAA	2398	滋賀県	AAAAAA	2398
RED ZONE___SPL	30	-1	-1	30	東京都	3234	2949	東京都	3234	2949
SPEEDY CAT___SPA	30	-1	-1	30	東京都	3234	1937	東京都	3234	1937
Sphere___SPA	30	-1	-1	30	東京都	MLIKO.	2215	東京都	MLIKO.	2215
spiral galaxy___SPA	30	-1	-1	30	東京都	MLIKO.	2238	東京都	MLIKO.	2238
spiral galaxy___SPL	30	-1	-1	30	韓国	R3CP	4019	韓国	R3CP	4019
