Sweet Sweet Magic___SPA	9	10	1032	29	大阪府	TAKA.S	2061	False	False	False
SWEETEST SAVAGE___SPA	9	11	930	29	千葉県	U*TAKA	1851	False	False	False
ライオン好き___SPA	9	7	755	27	埼玉県	TAXMEN	1510	False	False	False
真夏の花・真夏の夢___SPA	9	9	749	28	愛知県	PEACE	1495	False	False	False
1st Samurai___SPA	10	11	1383	28	韓国	DON*	2748	False	False	False
ALIEN TEMPLE___SPA	10	8	1021	29	愛知県	KUREI	2041	False	False	False
ASTRAL VOYAGE___SPA	10	9	971	29	愛知県	PEACE	1940	False	False	False
BABY LOVE___SPA	10	10	1089	29	愛知県	PEACE	2173	False	False	False
Back Into The Light___SPA	10	10	1086	29	群馬県	G*	2172	False	False	False
Boundary___SPA	10	9	1031	29	神奈川県	CYBERX	2061	False	False	False
CARRY ON NIGHT (English version)___SPA	10	9	1037	27	愛知県	PEACE	2069	False	False	False
Daisuke___SPA	10	10	1205	29	香川県	F.NYN	2410	False	False	False
Debtty Daddy___SPA	10	11	1371	29	韓国	DON*	2739	False	False	False
desolation___SPA	10	5	386	29	韓国	CHARM	772	False	False	False
DoLL___SPA	10	7	810	27	韓国	CHARM	1620	False	False	False
EXE___SPA	10	10	1131	27	韓国	DON*	2260	False	False	False
Feedback___SPA	10	10	1010	29	千葉県	U*TAKA	2003	False	False	False
FEEL IT___SPA	10	10	1013	28	東京都	NIKE.	2016	False	False	False
Freezing atmosphere___SPA	10	9	775	28	愛知県	PEACE	1533	False	False	False
GHOST REVIVAL___SPA	10	10	1311	28	韓国	DON*	2609	False	False	False
GRADIUS -FULL SPEED-___SPA	10	10	1074	29	愛知県	KUREI	2140	False	False	False
HIGH___SPA	10	9	1088	28	愛知県	KUREI	2176	False	False	False
Innocent Walls___SPA	10	12	1446	29	韓国	DON*	2886	False	False	False
Love Is Eternity___SPA	10	11	1215	29	韓国	DON*	2427	False	False	False
Lucy___SPA	10	11	1167	29	韓国	DON*	2334	False	False	False
Narcissus At Oasis___SPA	10	10	838	29	韓国	CHARM	1674	False	False	False
No.13___SPA	10	11	1607	29	香川県	F.NYN	3206	False	False	False
One More Lovely___SPA	10	12	1452	29	千葉県	U*TAKA	2896	False	False	False
pandora___SPA	10	9	931	29	愛知県	PEACE	1859	False	False	False
rainbow rainbow___SPA	10	11	1377	29	香川県	F.NYN	2748	False	False	False
Rise'n Beauty___SPA	10	10	1094	28	愛知県	PEACE	2186	False	False	False
SHOOTING STAR___SPA	10	9	1146	29	愛知県	PEACE	2286	False	False	False
SPACE FIGHT___SPA	10	11	1134	29	韓国	DON*	2266	False	False	False
システムロマンス___SPA	10	8	1023	29	愛知県	KUREI	2046	False	False	False
雪月花___SPA	10	12	1287	29	韓国	KKM*	2567	False	False	False
AA___SPA	11	12	1834	29	韓国	KKM*	3658	False	False	False
AGEHA___SPA	11	9	948	29	韓国	CHARM	1896	False	False	False
ANDROMEDA___SPA	11	11	1446	29	韓国	DON*	2892	False	False	False
awakening___SPA	11	10	866	28	愛知県	ANSA	1728	False	False	False
Be quiet___SPA	11	11	1114	29	韓国	DON*	2227	False	False	False
BLOCKS___SPA	11	11	1000	29	韓国	DON*	2000	False	False	False
BREATH___SPA	11	10	875	29	大阪府	VELVET	1748	False	False	False
Click Again___SPA	11	11	1097	27	韓国	CHARM	2175	False	False	False
Close my Eyes for Me___SPA	11	9	948	29	岡山県	CORIVE	1884	False	False	False
D.A.N.C.E.!___SPA	11	10	826	28	愛知県	PEACE	1644	False	False	False
Don't be afraid myself___SPA	11	10	1155	29	岩手県	DOLCE.	2306	False	False	False
earth scape___SPA	11	7	644	28	北海道	N!?	1287	False	False	False
FAKE TIME___SPA	11	12	1231	29	韓国	CSH*	2438	False	False	False
Fly Away To India___SPA	11	7	712	28	愛知県	PEACE	1422	False	False	False
GENOCIDE___SPA	11	11	1222	29	韓国	DON*	2435	False	False	False
gigadelic___SPA	11	12	1301	29	韓国	DON*	2577	False	False	False
HORIZON___SPA	11	8	990	29	愛知県	KUREI	1979	False	False	False
KEY___SPA	11	11	1436	29	埼玉県	1-PIN	2870	False	False	False
NEBULA GRASPER___SPA	11	10	1241	29	東京都	54GAYA	2481	False	False	False
Raspberry Heart(English version)___SPA	11	9	932	29	韓国	CHARM	1864	False	False	False
RED ZONE___SPA	11	11	1184	29	韓国	KKM*	2366	False	False	False
RED ZONE___SPL	11	12	1566	29	韓国	DON*	3125	False	False	False
RESONATE 1794___SPA	11	11	951	29	愛知県	KUREI	1901	False	False	False
Secret of Love___SPA	11	11	1019	29	愛知県	KUREI	2037	False	False	False
SPEEDY CAT___SPA	11	9	1028	29	韓国	DON*	2054	False	False	False
Sphere___SPA	11	10	1111	29	東京都	MIKAMO	2218	False	False	False
spiral galaxy___SPA	11	11	1310	29	韓国	DON*	2617	False	False	False
spiral galaxy___SPL	11	12	1910	28	韓国	DON*	3813	False	False	False
The Hope of Tomorrow___SPA	11	10	992	29	東京都	MIKAMO	1978	False	False	False
Wonder Bullfighter___SPA	11	11	1062	29	千葉県	U*TAKA	2102	False	False	False
ピアノ協奏曲第１番”蠍火”___SPA	11	12	1414	29	千葉県	U*TAKA	2770	False	False	False
大桟橋___SPA	11	9	937	29	韓国	CHARM	1869	False	False	False
太陽～T・A・I・Y・O～___SPA	11	9	880	29	東京都	MIKAMO	1759	False	False	False
ＵＬＴｉＭΛＴＥ___SPA	11	9	1006	27	韓国	CHARM	2011	False	False	False
100％ minimoo-G___SPA	12	11	903	28	千葉県	U*TAKA	1781	False	False	False
Agnus Dei___SPA	12	10	1051	28	東京都	MIKAMO	2098	False	False	False
alla turca con passione___SPA	12	10	1103	29	香川県	F.NYN	2203	False	False	False
Aurora___SPA	12	11	1280	29	千葉県	U*TAKA	2560	False	False	False
CaptivAte～浄化～___SPA	12	11	1243	29	東京都	MIKAMO	2485	False	False	False
Catch Me___SPA	12	10	925	29	東京都	MIKAMO	1844	False	False	False
double thrash___SPA	12	10	1206	29	東京都	DINASO	2402	False	False	False
EDEN___SPA	12	10	1363	29	福岡県	KENTAN	2725	False	False	False
EMPTY OF THE SKY___SPA	12	8	843	27	東京都	ALIKIA	1686	False	False	False
First Resolution___SPA	12	9	1077	27	埼玉県	TAXMEN	2154	False	False	False
garden___SPA	12	10	1100	29	神奈川県	I6VV	2195	False	False	False
Get'em up to R.A.V.E___SPA	12	10	1158	29	東京都	MIKAMO	2309	False	False	False
GREEN EYES___SPA	12	10	1123	28	愛知県	KUREI	2240	False	False	False
HAPPY☆ANGEL___SPA	12	10	1052	29	韓国	CHARM	2104	False	False	False
I am___SPA	12	10	1096	28	愛知県	PEACE	2187	False	False	False
in motion___SPA	12	7	661	29	愛知県	PEACE	1322	False	False	False
INAZUMA___SPA	12	11	1368	28	韓国	DON*	2734	False	False	False
LESSON 5___SPA	12	9	1261	29	愛知県	PEACE	2518	False	False	False
Little Little Princess___SPA	12	11	1420	29	韓国	KKM*	2817	False	False	False
Little Little Princess___SPL	12	12	1946	29	韓国	BANXI.	3853	False	False	False
Love Magic___SPA	12	10	991	29	岩手県	DOLCE.	1979	False	False	False
MOON RACE___SPA	12	9	957	29	韓国	CHARM	1909	False	False	False
Pink Rose___SPA	12	8	708	27	韓国	CHARM	1416	False	False	False
PLASMA___SPA	12	9	1145	28	韓国	DON*	2289	False	False	False
Pollinosis___SPA	12	11	1278	28	韓国	DON*	2553	False	False	False
POODLE___SPA	12	10	1156	29	東京都	MIKAMO	2312	False	False	False
POODLE___SPL	12	11	1707	29	韓国	DON*	3409	False	False	False
rage against usual___SPA	12	12	1527	29	韓国	KKM*	3039	False	False	False
SCREAM SQUAD___SPA	12	12	1073	29	韓国	KKM*	2128	False	False	False
Scripted Connection⇒ A mix___SPA	12	12	1575	29	韓国	DON*	3147	False	False	False
Scripted Connection⇒ H mix___SPA	12	11	1275	29	韓国	DON*	2540	False	False	False
Scripted Connection⇒ N mix___SPA	12	10	1073	28	韓国	DON*	2138	False	False	False
SigSig___SPA	12	10	1309	28	韓国	CHARM	2614	False	False	False
Tizona d'El Cid___SPA	12	10	1178	29	東京都	TETSUO	2350	False	False	False
Twelfth Style___SPA	12	10	1033	29	愛知県	PEACE	2062	False	False	False
Twelfth Style___SPL	12	12	1684	29	韓国	KKM*	3336	False	False	False
Under the Sky___SPA	12	9	875	29	東京都	DINASO	1749	False	False	False
vault of heaven___SPA	12	10	1010	29	富山県	RIOO	2019	False	False	False
Votum stellarum___SPA	12	10	1017	29	愛知県	PEACE	2029	False	False	False
We are Disっ娘よっつ打ち命___SPA	12	9	837	27	韓国	CHARM	1674	False	False	False
Xepher___SPA	12	11	1520	29	韓国	KKM*	3032	False	False	False
オレはビートマニア！お前は何マニア？___SPA	12	10	873	29	埼玉県	UCCHIE	1741	False	False	False
ヒマワリ___SPA	12	10	1042	28	韓国	CHARM	2082	False	False	False
ラクエン___SPA	12	11	1034	28	韓国	CHARM	2041	False	False	False
冥___SPA	12	12	2000	29	千葉県	U*TAKA	3922	False	False	False
合体せよ！ストロングイェーガー！！ (Ryu☆ remix)___SPA	12	11	972	29	東京都	8S.	1941	False	False	False
月光___SPA	12	10	1246	29	韓国	DON*	2489	False	False	False
ALFARSHEAR 双神威に廻る夢___SPA	13	10	1049	29	愛知県	KUREI	2098	False	False	False
Apocalypse ～dirge of swans～___SPA	13	10	1214	28	韓国	DON*	2424	False	False	False
BALLAD THE FEATHERS___SPA	13	8	764	28	愛知県	PEACE	1526	False	False	False
Bloody Tears(IIDX EDITION)___SPA	13	10	1094	29	東京都	MIKAMO	2188	False	False	False
BOOM BOOM DISCO NIGHT___SPA	13	10	1151	29	韓国	DON*	2301	False	False	False
Broadbanded___SPA	13	11	1019	29	神奈川県	SIREN2	2036	False	False	False
Concertino in Blue___SPA	13	12	1311	29	韓国	CSH*	2578	False	False	False
CONTRACT___SPA	13	11	1056	28	韓国	DON*	2108	False	False	False
CONTRACT___SPL	13	12	1418	27	千葉県	U*TAKA	2821	False	False	False
D.C.fish___SPA	13	11	1178	28	韓国	DON*	2355	False	False	False
Double Loving Heart___SPA	13	9	909	29	愛知県	PEACE	1818	False	False	False
DUE TOMORROW___SPA	13	12	1073	29	千葉県	U*TAKA	2116	False	False	False
EURO-ROMANCE___SPA	13	10	1056	29	韓国	CHARM	2112	False	False	False
Ganymede___SPA	13	11	1199	29	東京都	DINASO	2375	False	False	False
Harmony and Lovely___SPA	13	11	1127	29	神奈川県	SIREN2	2254	False	False	False
Heavenly Sun (IIDX VERSION)___SPA	13	10	1060	28	東京都	DINASO	2120	False	False	False
INFERNO___SPA	13	9	1008	29	愛知県	PEACE	2013	False	False	False
Leaving...___SPA	13	10	1116	29	東京都	DINASO	2229	False	False	False
Melody Life___SPA	13	False	False	27	青森県	MOSAPI	1865	False	False	False
MINT___SPA	13	11	1158	28	韓国	DON*	2316	False	False	False
MOON___SPA	13	10	1118	29	韓国	CHARM	2232	False	False	False
Power of Love___SPA	13	10	1077	29	愛知県	PEACE	2153	False	False	False
So Fabulous !!___SPA	13	10	1191	29	埼玉県	1-PIN	2375	False	False	False
Sun Field___SPA	13	11	1234	29	韓国	DON*	2467	False	False	False
The Dirty of Loudness___SPA	13	11	1327	29	韓国	KKM*	2648	False	False	False
This is Love___SPA	13	10	1249	27	東京都	MKM*	2496	False	False	False
tripping contact(teranoid&MC Natsack Remix)___SPA	13	11	1258	27	韓国	CHARM	2497	False	False	False
TYPE MARS(G-Style Mix)___SPA	13	11	1237	29	韓国	KKM*	2459	False	False	False
waxing and wanding___SPA	13	11	1457	29	千葉県	U*TAKA	2909	False	False	False
waxing and wanding___SPL	13	12	2000	29	千葉県	U*TAKA	3995	False	False	False
Why did you go away___SPA	13	10	1166	27	韓国	DON*	2330	False	False	False
